ID, name, year, director, writers, actors 
000666, Juno, 2007, Jason Reitman, Diablo Cody, Ellen Page; Michael Cera; Jennifer Garner
000667, A League of Their Own, 1992, Penny Marshall, Kim Wilson; Kelly Candaele, Tom Hanks; Geena Davis; Lori Petty
000668, Training Day, 2001, Antoine Fuqua, David Ayer, Denzel Washington; Ethan Hawke; Scott Glenn
000669, , 2009, Marc Webb, Scott Neustadter; Michael H. Weber, Zooey Deschanel; Joseph Gordon-Levitt; Geoffrey Arend
000670, GoldenEye, 1995, Martin Campbell, Ian Fleming; Michael France, Pierce Brosnan; Sean Bean; Izabella Scorupco
000671, The D Train, 2015, Andrew Mogel; Jarrad Paul, Jarrad Paul; Andrew Mogel, Jack Black; James Marsden; Kathryn Hahn
000672, Big Game, 2014, Jalmari Helander, Jalmari Helander, Samuel L. Jackson; Onni Tommila; Ray Stevenson
000673, 3 Idiots, 2009, Rajkumar Hirani, Rajkumar Hirani; Abhijat Joshi, Aamir Khan; Madhavan; Mona Singh
000674, The Ring, 2002, Gore Verbinski, Ehren Kruger; Kôji Suzuki, Naomi Watts; Martin Henderson; Brian Cox
000675, Crash(I), 2004, Paul Haggis, Paul Haggis; Paul Haggis, Don Cheadle; Sandra Bullock; Thandie Newton
000676, The Other Woman, 2014, Nick Cassavetes, Melissa Stack, Cameron Diaz; Leslie Mann; Kate Upton
000677, The Messenger(I), 2015, David Blair, Andrew Kirk; Andrew Kirk, Robert Sheehan; Joely Richardson; David O'Hara
000678, Real Steel, 2011, Shawn Levy, John Gatins; Dan Gilroy, Hugh Jackman; Evangeline Lilly; Dakota Goyo
000679, The Town, 2010, Ben Affleck, Peter Craig; Ben Affleck, Ben Affleck; Rebecca Hall; Jon Hamm
000680, Sherlock Holmes, 2009, Guy Ritchie, Michael Robert Johnson; Anthony Peckham, Robert Downey Jr.; Jude Law; Rachel McAdams
000681, The Boy Next Door, 2015, Rob Cohen, Barbara Curry, Jennifer Lopez; Ryan Guzman; Kristin Chenoweth
000682, Bring It On, 2000, Peyton Reed, Jessica Bendinger, Kirsten Dunst; Eliza Dushku; Jesse Bradford
000683, The Keeping Room, 2014, Daniel Barber, Julia Hart, Brit Marling; Hailee Steinfeld; Sam Worthington
000684, Risen, 2016, Kevin Reynolds, Kevin Reynolds; Paul Aiello, Cliff Curtis; Tom Felton; Joseph Fiennes
000685, Easy A, 2010, Will Gluck, Bert V. Royal, Emma Stone; Amanda Bynes; Penn Badgley
000686, Noah, 2014, Darren Aronofsky, Darren Aronofsky; Ari Handel, Russell Crowe; Jennifer Connelly; Anthony Hopkins
000687, Tiger House, 2015, Thomas Daley, Simon Lewis, Kaya Scodelario; Ed Skrein; Dougray Scott
000688, Back to the Future Part II, 1989, Robert Zemeckis, Robert Zemeckis; Bob Gale, Michael J. Fox; Christopher Lloyd; Lea Thompson
000689, The 33, 2015, Patricia Riggen, Mikko Alanne; Craig Borten, Cote de Pablo; Juan Pablo Raba; James Brolin
000690, Oculus(I), 2013, Mike Flanagan, Mike Flanagan; Jeff Howard, Karen Gillan; Brenton Thwaites; Katee Sackhoff
000691, High-Rise, 2015, Ben Wheatley, J.G. Ballard; Amy Jump, Tom Hiddleston; Jeremy Irons; Sienna Miller
000692, The Birds, 1963, Alfred Hitchcock, Daphne Du Maurier; Evan Hunter, Rod Taylor; Tippi Hedren; Suzanne Pleshette
000693, Iron Man 2, 2010, Jon Favreau, Justin Theroux; Stan Lee, Robert Downey Jr.; Mickey Rourke; Gwyneth Paltrow
000694, The Hive(I), 2015, David Yarovesky, Will Honley; David Yarovesky, Steve Agee; Gabriel Basso; Talitha Bateman
000695, Dazed and Confused, 1993, Richard Linklater, Richard Linklater, Jason London; Wiley Wiggins; Matthew McConaughey
000696, True Grit, 2010, Ethan Coen; Joel Coen, Joel Coen; Ethan Coen, Jeff Bridges; Matt Damon; Hailee Steinfeld
000697, The Impossible, 2012, J.A. Bayona, Sergio G. Sánchez; María Belón, Naomi Watts; Ewan McGregor; Tom Holland
000698, Now You See Me 2, 2016, Jon M. Chu, Pete Chiarelli; Ed Solomon, Lizzy Caplan; Daniel Radcliffe; Mark Ruffalo
000699, The Purge(I), 2013, James DeMonaco, James DeMonaco, Ethan Hawke; Lena Headey; Max Burkholder
000700, Anna Karenina(I), 2012, Joe Wright, Tom Stoppard; Leo Tolstoy, Keira Knightley; Jude Law; Aaron Taylor-Johnson
000701, Batman &amp; Robin, 1997, Joel Schumacher, Bob Kane; Akiva Goldsman, Arnold Schwarzenegger; George Clooney; Chris O'Donnell
000702, Before We Go(I), 2014, Chris Evans, Ronald Bass; Jen Smolka, Chris Evans; Alice Eve; Emma Fitzpatrick
000703, Blazing Saddles, 1974, Mel Brooks, Mel Brooks; Norman Steinberg, Cleavon Little; Gene Wilder; Slim Pickens
000704, The NeverEnding Story, 1984, Wolfgang Petersen, Wolfgang Petersen; Herman Weigel, Noah Hathaway; Barret Oliver; Tami Stronach
000705, Avengers: Infinity War - Part I, 2018, Anthony Russo; Joe Russo, Jack Kirby; Christopher Markus, 
000706, Lazer Team, 2015, Matt Hullum, Burnie Burns; Chris Demarais, Alan Ritchson; Alexandria DeBerry; Burnie Burns
000707, The Bourne Identity, 2002, Doug Liman, Tony Gilroy; W. Blake Herron, Franka Potente; Matt Damon; Chris Cooper
000708, The Cobbler, 2014, Tom McCarthy, Tom McCarthy; Paul Sado, Adam Sandler; Melonie Diaz; Steve Buscemi
000709, Deadly Virtues: Love.Honour.Obey., 2014, Ate de Jong, Mark Rogers; Mark Rogers, Edward Akrout; Matt Barber; Megan Maczko
000710, This Is 40, 2012, Judd Apatow, Judd Apatow; Judd Apatow, Paul Rudd; Leslie Mann; Maude Apatow
000711, The Heat(I), 2013, Paul Feig, Katie Dippold, Sandra Bullock; Michael McDonald; Melissa McCarthy
000712, Harry Potter and the Deathly Hallows: Part 1, 2010, David Yates, Steve Kloves; J.K. Rowling, Daniel Radcliffe; Emma Watson; Rupert Grint
000713, London Has Fallen, 2016, Babak Najafi, Creighton Rothenberger; Katrin Benedikt, Gerard Butler; Morgan Freeman; Jackie Earle Haley
000714, 2012(I), 2009, Roland Emmerich, Roland Emmerich; Harald Kloser, John Cusack; Thandie Newton; Chiwetel Ejiofor
000715, Hot Fuzz, 2007, Edgar Wright, Edgar Wright; Simon Pegg, Simon Pegg; Nick Frost; Martin Freeman
000716, Halloween, 2007, Rob Zombie, Rob Zombie; John Carpenter, Scout Taylor-Compton; Malcolm McDowell; Tyler Mane
000717, Tangled, 2010, Nathan Greno; Byron Howard, Dan Fogelman; Jacob Grimm, Mandy Moore; Zachary Levi; Donna Murphy
000718, The Wedding Singer, 1998, Frank Coraci, Tim Herlihy, Adam Sandler; Drew Barrymore; Christine Taylor
000719, Mission: Impossible, 1996, Brian De Palma, Bruce Geller; David Koepp, Tom Cruise; Jon Voight; Emmanuelle Béart
000720, Mr. Nobody, 2009, Jaco Van Dormael, Jaco Van Dormael, Jared Leto; Sarah Polley; Diane Kruger
000721, The Expendables, 2010, Sylvester Stallone, Dave Callaham; Sylvester Stallone, Sylvester Stallone; Jason Statham; Jet Li
000722, The Girl Next Door, 2004, Luke Greenfield, David Wagner; Brent Goldberg, Emile Hirsch; Nicholas Downs; Elisha Cuthbert
000723, Sex Tape, 2014, Jake Kasdan, Kate Angelo; Jason Segel, Jason Segel; Cameron Diaz; Rob Corddry
000724, Shaun of the Dead, 2004, Edgar Wright, Simon Pegg; Edgar Wright, Simon Pegg; Nick Frost; Kate Ashfield
000725, Starship Troopers, 1997, Paul Verhoeven, Edward Neumeier; Robert A. Heinlein, Casper Van Dien; Denise Richards; Dina Meyer
000726, In Time, 2011, Andrew Niccol, Andrew Niccol, Justin Timberlake; Amanda Seyfried; Cillian Murphy
000727, Dirty Dancing, 1987, Emile Ardolino, Eleanor Bergstein, Patrick Swayze; Jennifer Grey; Jerry Orbach
000728, Avatar 2, 2017, James Cameron, James Cameron; James Cameron, Zoe Saldana; Sam Worthington; Sigourney Weaver
000729, Exeter(III), 2015, Marcus Nispel, Kirsten McCallion; Kirsten McCallion, Stephen Lang; Kevin Chapman; Kelly Blatz
000730, The Blind Side, 2009, John Lee Hancock, John Lee Hancock; Michael Lewis, Quinton Aaron; Sandra Bullock; Tim McGraw
000731, The Lives of Others, 2006, Florian Henckel von Donnersmarck, Florian Henckel von Donnersmarck, Ulrich Mühe; Martina Gedeck; Sebastian Koch
000732, Lock, Stock and Two Smoking Barrels, 1998, Guy Ritchie, Guy Ritchie, Jason Flemyng; Dexter Fletcher; Nick Moran
000733, The Matrix Reloaded, 2003, Andy Wachowski; Lana Wachowski, Andy Wachowski; Lana Wachowski, Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss
000734, Mulholland Dr., 2001, David Lynch, David Lynch, Naomi Watts; Laura Harring; Justin Theroux
000735, Ratatouille, 2007, Brad Bird; Jan Pinkava, Brad Bird; Jan Pinkava, Brad Garrett; Lou Romano; Patton Oswalt
000736, The Karate Kid, 1984, John G. Avildsen, Robert Mark Kamen, Ralph Macchio; Pat Morita; Elisabeth Shue
000737, Hannibal, 2001, Ridley Scott, Thomas Harris; David Mamet, Anthony Hopkins; Julianne Moore; Gary Oldman
000738, Weird Science, 1985, John Hughes, John Hughes, Anthony Michael Hall; Ilan Mitchell-Smith; Kelly LeBrock
000739, The Lost World: Jurassic Park, 1997, Steven Spielberg, Michael Crichton; David Koepp, Jeff Goldblum; Julianne Moore; Pete Postlethwaite
000740, Fantastic Four(I), 2005, Tim Story, Mark Frost; Michael France, Ioan Gruffudd; Michael Chiklis; Chris Evans
000741, Cake(II), 2014, Daniel Barnz, Patrick Tobin, Jennifer Aniston; Adriana Barraza; Anna Kendrick
000742, Kick-Ass 2, 2013, Jeff Wadlow, Jeff Wadlow; Mark Millar, Aaron Taylor-Johnson; Chloë Grace Moretz; Christopher Mintz-Plasse
000743, Raiders of the Lost Ark, 1981, Steven Spielberg, Lawrence Kasdan; George Lucas, Harrison Ford; Karen Allen; Paul Freeman
000744, Robin Hood, 2010, Ridley Scott, Brian Helgeland; Brian Helgeland, Russell Crowe; Cate Blanchett; Matthew Macfadyen
000745, Snowden, 2016, Oliver Stone, Kieran Fitzgerald; Luke Harding, Shailene Woodley; Joseph Gordon-Levitt; Scott Eastwood
000746, Untitled Matt Damon/Bourne Sequel, 2016, Paul Greengrass, Matt Damon; Paul Greengrass, Matt Damon; Alicia Vikander; Julia Stiles
000747, Dark Shadows, 2012, Tim Burton, Seth Grahame-Smith; John August, Johnny Depp; Michelle Pfeiffer; Eva Green
000748, To Kill a Mockingbird, 1962, Robert Mulligan, Harper Lee; Horton Foote, Gregory Peck; John Megna; Frank Overton
000749, Napoleon Dynamite, 2004, Jared Hess, Jared Hess; Jerusha Hess, Jon Heder; Efren Ramirez; Jon Gries
000750, Brave, 2012, Mark Andrews; Brenda Chapman, Brenda Chapman; Mark Andrews, Kelly Macdonald; Billy Connolly; Emma Thompson
000751, The Spectacular Now, 2013, James Ponsoldt, Scott Neustadter; Michael H. Weber, Miles Teller; Shailene Woodley; Kyle Chandler
000752, Gang jiong, 2015, Zheng Xu, Huan Shu, Zheng Xu; Wei Zhao; Bei-Er Bao
000753, Locke, 2013, Steven Knight, Steven Knight, Tom Hardy; Olivia Colman; Ruth Wilson
000754, American Gangster, 2007, Ridley Scott, Steven Zaillian; Mark Jacobson, Denzel Washington; Russell Crowe; Chiwetel Ejiofor
000755, Selma, 2014, Ava DuVernay, Paul Webb, David Oyelowo; Carmen Ejogo; Tim Roth
000756, Area 51, 2015, Oren Peli, Christopher Denham; Oren Peli, Reid Warner; Darrin Bragg; Ben Rovner
000757, Batman Returns, 1992, Tim Burton, Bob Kane; Daniel Waters, Michael Keaton; Danny DeVito; Michelle Pfeiffer
000758, The Lord of the Rings: The Two Towers, 2002, Peter Jackson, J.R.R. Tolkien; Fran Walsh, Elijah Wood; Ian McKellen; Viggo Mortensen
000759, The Rise of the Krays, 2015, Zackary Adler, Ken Brown; Sebastian Brown, Simon Cotton; Kevin Leslie; Nicola Stapleton
000760, The Magnificent Seven, 2016, Antoine Fuqua, Akira Kurosawa; Shinobu Hashimoto, Chris Pratt; Matt Bomer; Denzel Washington
000761, The Dressmaker, 2015, Jocelyn Moorhouse, Rosalie Ham; P.J. Hogan, Kate Winslet; Liam Hemsworth; Hugo Weaving
000762, Beauty and the Beast, 1991, Gary Trousdale; Kirk Wise, Linda Woolverton; Roger Allers, Paige O'Hara; Robby Benson; Jesse Corti
000763, Gremlins, 1984, Joe Dante, Chris Columbus, Zach Galligan; Phoebe Cates; Hoyt Axton
000764, Stonehearst Asylum, 2014, Brad Anderson, Joe Gangemi; Edgar Allan Poe, Kate Beckinsale; Jim Sturgess; David Thewlis
000765, Tropic Thunder, 2008, Ben Stiller, Justin Theroux; Ben Stiller, Ben Stiller; Jack Black; Robert Downey Jr.
000766, Jerry Maguire, 1996, Cameron Crowe, Cameron Crowe, Tom Cruise; Cuba Gooding Jr.; Renée Zellweger
000767, Superman Returns, 2006, Bryan Singer, Michael Dougherty; Dan Harris, Brandon Routh; Kevin Spacey; Kate Bosworth
000768, The Descendants, 2011, Alexander Payne, Alexander Payne; Nat Faxon, George Clooney; Shailene Woodley; Amara Miller
000769, 28 Days Later..., 2002, Danny Boyle, Alex Garland, Cillian Murphy; Naomie Harris; Christopher Eccleston
000770, That Awkward Moment, 2014, Tom Gormican, Tom Gormican, Zac Efron; Michael B. Jordan; Miles Teller
000771, Unfinished Business, 2015, Ken Scott, Steve Conrad, Vince Vaughn; Dave Franco; Tom Wilkinson
000772, Mr. Holmes, 2015, Bill Condon, Mitch Cullin; Jeffrey Hatcher, Ian McKellen; Laura Linney; Hiroyuki Sanada
000773, Slap Shot, 1977, George Roy Hill, Nancy Dowd, Paul Newman; Michael Ontkean; Strother Martin
000774, Orphan, 2009, Jaume Collet-Serra, David Johnson; Alex Mace, Vera Farmiga; Peter Sarsgaard; Isabelle Fuhrman
000775, TRON: Legacy, 2010, Joseph Kosinski, Edward Kitsis; Adam Horowitz, Jeff Bridges; Garrett Hedlund; Olivia Wilde
000776, Harry Potter and the Order of the Phoenix, 2007, David Yates, Michael Goldenberg; J.K. Rowling, Daniel Radcliffe; Emma Watson; Rupert Grint
000777, Big Daddy, 1999, Dennis Dugan, Steve Franks; Steve Franks, Adam Sandler; Joey Lauren Adams; Jon Stewart
000778, Jack Reacher, 2012, Christopher McQuarrie, Lee Child; Christopher McQuarrie, Tom Cruise; Rosamund Pike; Richard Jenkins
000779, The Lucky One, 2012, Scott Hicks, Will Fetters; Nicholas Sparks, Zac Efron; Taylor Schilling; Blythe Danner
000780, Boyz n the Hood, 1991, John Singleton, John Singleton, Cuba Gooding Jr.; Laurence Fishburne; Hudhail Al-Amir
000781, The Lone Ranger, 2013, Gore Verbinski, Justin Haythe; Ted Elliott, Johnny Depp; Armie Hammer; William Fichtner
000782, Up in the Air(I), 2009, Jason Reitman, Walter Kirn; Jason Reitman, George Clooney; Vera Farmiga; Anna Kendrick
000783, Grown Ups, 2010, Dennis Dugan, Adam Sandler; Fred Wolf, Adam Sandler; Salma Hayek; Kevin James
000784, The Finest Hours, 2015, Craig Gillespie, Eric Johnson; Casey Sherman, Chris Pine; Holliday Grainger; Ben Foster
000785, Let's Be Cops, 2014, Luke Greenfield, Luke Greenfield; Nicholas Thomas, Jake Johnson; Damon Wayans Jr.; Rob Riggle
000786, Only Lovers Left Alive, 2013, Jim Jarmusch, Jim Jarmusch; Marion Bessay, Tilda Swinton; Tom Hiddleston; Mia Wasikowska
000787, Fright Night, 2011, Craig Gillespie, Marti Noxon; Tom Holland, Anton Yelchin; Colin Farrell; David Tennant
000788, Gangs of New York, 2002, Martin Scorsese, Jay Cocks; Jay Cocks, Leonardo DiCaprio; Cameron Diaz; Daniel Day-Lewis
000789, Waterworld, 1995, Kevin Reynolds, Peter Rader; David Twohy, Kevin Costner; Jeanne Tripplehorn; Dennis Hopper
000790, Hansel &amp; Gretel: Witch Hunters, 2013, Tommy Wirkola, Tommy Wirkola, Jeremy Renner; Gemma Arterton; Peter Stormare
000791, Robin Hood: Prince of Thieves, 1991, Kevin Reynolds, Pen Densham; Pen Densham, Kevin Costner; Morgan Freeman; Mary Elizabeth Mastrantonio
000792, Hitman(I), 2007, Xavier Gens, Skip Woods, Timothy Olyphant; Dougray Scott; Olga Kurylenko
000793, Blunt Force Trauma, 2015, Ken Sanzel, Ken Sanzel, Mickey Rourke; Freida Pinto; Ryan Kwanten
000794, What's Eating Gilbert Grape, 1993, Lasse Hallström, Peter Hedges; Peter Hedges, Johnny Depp; Leonardo DiCaprio; Juliette Lewis
000795, Children of Men, 2006, Alfonso Cuarón, Alfonso Cuarón; Timothy J. Sexton, Julianne Moore; Clive Owen; Chiwetel Ejiofor
000796, Deliverance, 1972, John Boorman, James Dickey; James Dickey, Jon Voight; Burt Reynolds; Ned Beatty
000797, Knights of the Roundtable: King Arthur, 2016, Guy Ritchie, Joby Harold, Charlie Hunnam; Jude Law; Katie McGrath
000798, The Diary of a Teenage Girl, 2015, Marielle Heller, Phoebe Gloeckner; Marielle Heller, Bel Powley; Alexander Skarsgård; Kristen Wiig
000799, Pretty Woman, 1990, Garry Marshall, J.F. Lawton, Richard Gere; Julia Roberts; Jason Alexander
000800, Midnight in Paris, 2011, Woody Allen, Woody Allen, Owen Wilson; Rachel McAdams; Kathy Bates
000801, The Mist, 2007, Frank Darabont, Frank Darabont; Stephen King, Thomas Jane; Marcia Gay Harden; Laurie Holden
000802, Night at the Museum, 2006, Shawn Levy, Robert Ben Garant; Thomas Lennon, Ben Stiller; Carla Gugino; Ricky Gervais
000803, Enchanted, 2007, Kevin Lima, Bill Kelly, Amy Adams; Susan Sarandon; James Marsden
000804, The Great Outdoors, 1988, Howard Deutch, John Hughes, Dan Aykroyd; John Candy; Stephanie Faracy
000805, Lost in Translation, 2003, Sofia Coppola, Sofia Coppola, Bill Murray; Scarlett Johansson; Giovanni Ribisi
000806, Jagten, 2012, Thomas Vinterberg, Tobias Lindholm; Thomas Vinterberg, Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp
000807, The A-Team, 2010, Joe Carnahan, Joe Carnahan; Brian Bloom, Liam Neeson; Bradley Cooper; Sharlto Copley
000808, 4Got10, 2015, Timothy Woodward Jr., Sean Ryan, Johnny Messner; Dolph Lundgren; Danny Trejo
000809, A Most Wanted Man, 2014, Anton Corbijn, Andrew Bovell; John le Carré, Philip Seymour Hoffman; Rachel McAdams; Daniel Brühl
000810, The Expendables 2, 2012, Simon West, Richard Wenk; Sylvester Stallone, Sylvester Stallone; Liam Hemsworth; Randy Couture
000811, Teen Lust, 2014, Blaine Thurier, Jason Stone; Blaine Thurier, Daryl Sabara; Cary Elwes; Emmanuelle Vaugier
000812, Immortals, 2011, Tarsem Singh, Charley Parlapanides; Vlas Parlapanides, Henry Cavill; Mickey Rourke; John Hurt
000813, Incendies, 2010, Denis Villeneuve, Valérie Beaugrand-Champagne; Wajdi Mouawad, Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette
000814, Wreck-It Ralph, 2012, Rich Moore, Rich Moore; Phil Johnston, John C. Reilly; Jack McBrayer; Jane Lynch
000815, Results, 2015, Andrew Bujalski, Andrew Bujalski, Guy Pearce; Cobie Smulders; Kevin Corrigan
000816, Public Enemies, 2009, Michael Mann, Ronan Bennett; Michael Mann, Christian Bale; Johnny Depp; David Wenham
000817, Apocalypto, 2006, Mel Gibson, Mel Gibson; Farhad Safinia, Gerardo Taracena; Raoul Trujillo; Dalia Hernández
000818, Breakfast at Tiffany's, 1961, Blake Edwards, Truman Capote; George Axelrod, Audrey Hepburn; George Peppard; Patricia Neal
000819, The Hurt Locker, 2008, Kathryn Bigelow, Mark Boal, Jeremy Renner; Anthony Mackie; Brian Geraghty
000820, The Book of Eli, 2010, Albert Hughes; Allen Hughes, Gary Whitta, Denzel Washington; Mila Kunis; Ray Stevenson
000821, Million Dollar Baby, 2004, Clint Eastwood, Paul Haggis; F.X. Toole, Hilary Swank; Clint Eastwood; Morgan Freeman
000822, Mystic River, 2003, Clint Eastwood, Brian Helgeland; Dennis Lehane, Sean Penn; Tim Robbins; Kevin Bacon
000823, Matilda, 1996, Danny DeVito, Roald Dahl; Nicholas Kazan, Danny DeVito; Rhea Perlman; Mara Wilson
000824, King Kong, 2005, Peter Jackson, Fran Walsh; Philippa Boyens, Naomi Watts; Jack Black; Adrien Brody
000825, Jaws, 1975, Steven Spielberg, Peter Benchley; Carl Gottlieb, Roy Scheider; Robert Shaw; Richard Dreyfuss
000826, Hercules, 1997, Ron Clements; John Musker, Ron Clements; John Musker, Tate Donovan; Susan Egan; James Woods
000827, Taken(I), 2008, Pierre Morel, Luc Besson; Robert Mark Kamen, Liam Neeson; Maggie Grace; Famke Janssen
000828, Horns, 2013, Alexandre Aja, Keith Bunin; Joe Hill, Daniel Radcliffe; Juno Temple; Max Minghella
000829, Batman Forever, 1995, Joel Schumacher, Bob Kane; Lee Batchler, Val Kilmer; Tommy Lee Jones; Jim Carrey
000830, White House Down, 2013, Roland Emmerich, James Vanderbilt, Channing Tatum; Jamie Foxx; Maggie Gyllenhaal
000831, Twister, 1996, Jan de Bont, Michael Crichton; Anne-Marie Martin, Helen Hunt; Bill Paxton; Cary Elwes
000832, Black Sea, 2014, Kevin Macdonald, Dennis Kelly, Jude Law; Scoot McNairy; Ben Mendelsohn
000833, Aloft, 2014, Claudia Llosa, Claudia Llosa, Jennifer Connelly; Cillian Murphy; Mélanie Laurent
000834, Amélie, 2001, Jean-Pierre Jeunet, Guillaume Laurant; Jean-Pierre Jeunet, Audrey Tautou; Mathieu Kassovitz; Rufus
000835, The Hundred-Foot Journey, 2014, Lasse Hallström, Steven Knight; Richard C. Morais, Helen Mirren; Om Puri; Manish Dayal
000836, Tracers, 2015, Daniel Benmayor, Matt Johnson; T.J. Scott, Taylor Lautner; Marie Avgeropoulos; Adam Rayner
000837, The Iron Giant, 1999, Brad Bird, Tim McCanlies; Brad Bird, Eli Marienthal; Harry Connick Jr.; Jennifer Aniston
000838, Into the Storm, 2014, Steven Quale, John Swetnam, Richard Armitage; Sarah Wayne Callies; Matt Walsh
000839, Wayne's World, 1992, Penelope Spheeris, Mike Myers; Mike Myers, Mike Myers; Dana Carvey; Rob Lowe
000840, Men in Black 3, 2012, Barry Sonnenfeld, Etan Cohen; Lowell Cunningham, Will Smith; Tommy Lee Jones; Josh Brolin
000841, Pompeii(I), 2014, Paul W.S. Anderson, Janet Scott Batchler; Lee Batchler, Kit Harington; Emily Browning; Kiefer Sutherland
000842, Despicable Me 2, 2013, Pierre Coffin; Chris Renaud, Cinco Paul; Ken Daurio, Steve Carell; Kristen Wiig; Benjamin Bratt
000843, Ricki and the Flash, 2015, Jonathan Demme, Diablo Cody, Meryl Streep; Kevin Kline; Mamie Gummer
000844, Gandhi, 1982, Richard Attenborough, John Briley, Ben Kingsley; John Gielgud; Candice Bergen
000845, Mud, 2012, Jeff Nichols, Jeff Nichols, Matthew McConaughey; Tye Sheridan; Jacob Lofland
000846, Scooby-Doo, 2002, Raja Gosnell, James Gunn; Craig Titley, Matthew Lillard; Freddie Prinze Jr.; Sarah Michelle Gellar
000847, How to Train Your Dragon 2, 2014, Dean DeBlois, Dean DeBlois; Cressida Cowell, Jay Baruchel; Cate Blanchett; Gerard Butler
000848, Infinitely Polar Bear, 2014, Maya Forbes, Maya Forbes, Mark Ruffalo; Zoe Saldana; Imogene Wolodarsky
000849, Twelve Monkeys, 1995, Terry Gilliam, Chris Marker; David Webb Peoples, Bruce Willis; Madeleine Stowe; Brad Pitt
000850, Green Lantern, 2011, Martin Campbell, Greg Berlanti; Michael Green, Ryan Reynolds; Blake Lively; Peter Sarsgaard
000851, The Incredible Hulk, 2008, Louis Leterrier, Zak Penn; Zak Penn, Edward Norton; Liv Tyler; Tim Roth
000852, 12 Rounds 3: Lockdown, 2015, Stephen Reynolds, Nathan Brookes; Bobby Lee Darby, Jonathan Good; Roger R. Cross; Daniel Cudmore
000853, Men in Black, 1997, Barry Sonnenfeld, Lowell Cunningham; Ed Solomon, Tommy Lee Jones; Will Smith; Linda Fiorentino
000854, Insidious: Chapter 2, 2013, James Wan, Leigh Whannell; James Wan, Patrick Wilson; Rose Byrne; Barbara Hershey
000855, Lawrence of Arabia, 1962, David Lean, T.E. Lawrence; Robert Bolt, Peter O'Toole; Alec Guinness; Anthony Quinn
000856, Little Miss Sunshine, 2006, Jonathan Dayton; Valerie Faris, Michael Arndt, Steve Carell; Toni Collette; Greg Kinnear
000857, The Italian Job, 2003, F. Gary Gray, Troy Kennedy-Martin; Donna Powers, Donald Sutherland; Mark Wahlberg; Edward Norton
000858, Annabelle(I), 2014, John R. Leonetti, Gary Dauberman, Ward Horton; Annabelle Wallis; Alfre Woodard
000859, The Hitchhiker's Guide to the Galaxy, 2005, Garth Jennings, Douglas Adams; Douglas Adams, Martin Freeman; Yasiin Bey; Sam Rockwell
000860, Taken 3, 2014, Olivier Megaton, Luc Besson; Robert Mark Kamen, Liam Neeson; Forest Whitaker; Maggie Grace
000861, RoboCop, 2014, José Padilha, Joshua Zetumer; Edward Neumeier, Joel Kinnaman; Gary Oldman; Michael Keaton
000862, Fear and Loathing in Las Vegas, 1998, Terry Gilliam, Hunter S. Thompson; Terry Gilliam, Johnny Depp; Benicio Del Toro; Tobey Maguire
000863, Dracula, 1992, Francis Ford Coppola, Bram Stoker; James V. Hart, Gary Oldman; Winona Ryder; Anthony Hopkins
000864, The Lovely Bones, 2009, Peter Jackson, Fran Walsh; Philippa Boyens, Rachel Weisz; Mark Wahlberg; Saoirse Ronan
000865, X-Men: The Last Stand, 2006, Brett Ratner, Simon Kinberg; Zak Penn, Patrick Stewart; Hugh Jackman; Halle Berry
000866, Project X, 2012, Nima Nourizadeh, Matt Drake; Michael Bacall, Thomas Mann; Oliver Cooper; Jonathan Daniel Brown
000867, Liar Liar, 1997, Tom Shadyac, Paul Guay; Stephen Mazur, Jim Carrey; Maura Tierney; Justin Cooper
000868, Footloose, 1984, Herbert Ross, Dean Pitchford, Kevin Bacon; Lori Singer; John Lithgow
000869, The Last House on the Left, 2009, Dennis Iliadis, Adam Alleca; Carl Ellsworth, Garret Dillahunt; Monica Potter; Tony Goldwyn
000870, Trash(I), 2014, Stephen Daldry; Christian Duurvoort, Felipe Braga; Richard Curtis, Rickson Tevez; Eduardo Luis; Gabriel Weinstein
000871, Rise of the Guardians, 2012, Peter Ramsey, David Lindsay-Abaire; William Joyce, Hugh Jackman; Alec Baldwin; Isla Fisher
000872, Atonement, 2007, Joe Wright, Ian McEwan; Christopher Hampton, Keira Knightley; James McAvoy; Brenda Blethyn
000873, Carrie, 2013, Kimberly Peirce, Lawrence D. Cohen; Roberto Aguirre-Sacasa, Chloë Grace Moretz; Julianne Moore; Gabriella Wilde
000874, The Runner(I), 2015, Austin Stark, Austin Stark, Nicolas Cage; Sarah Paulson; Connie Nielsen
000875, Dead Poets Society, 1989, Peter Weir, Tom Schulman, Robin Williams; Robert Sean Leonard; Ethan Hawke
000876, The Pianist, 2002, Roman Polanski, Ronald Harwood; Wladyslaw Szpilman, Adrien Brody; Thomas Kretschmann; Frank Finlay
000877, Monster, 2003, Patty Jenkins, Patty Jenkins, Charlize Theron; Christina Ricci; Bruce Dern
000878, The Captive, 2014, Atom Egoyan, Atom Egoyan; David Fraser, Ryan Reynolds; Scott Speedman; Rosario Dawson
000879, Jackie Brown, 1997, Quentin Tarantino, Quentin Tarantino; Elmore Leonard, Pam Grier; Samuel L. Jackson; Robert Forster
000880, Ender's Game, 2013, Gavin Hood, Gavin Hood; Orson Scott Card, Harrison Ford; Asa Butterfield; Hailee Steinfeld
