ID,title,year,director(s),writer(s),actor(s)
1937,Orange County,2002,Jake Kasdan,Mike White,Colin Hanks;Jack Black;Schuyler Fisk;Bret Harrison
1938,Beverly Hills Cop II,1987,Tony Scott,Eddie Murphy;Robert D. Wachs;Larry Ferguson;Warren Skaaren;David Giler;Dennis Klein;Danilo Bach;Daniel Petrie, Jr.,Eddie Murphy;Judge Reinhold;John Ashton;Jürgen Prochnow
1939,Lost Highway,1997,David Lynch,David Lynch;Barry Gifford,Bill Pullman;Patricia Arquette;John Roselius;Louis Eppolito
1940,Emmanuelle Through Time: Emmanuelle's Skin City,2011,Bugsy Shapiro,Bugsy Shapiro,Brittany Joy;Michelle Bauer;Victoria De Mare;Seth Gamble
1941,Star Trek: Insurrection,1998,Jonathan Frakes,Michael Piller,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton
1942,Papillon,1973,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.,Steve McQueen;Dustin Hoffman;Victor Jory;Don Gordon
1943,Nang Chan Raem,2012,Naphatr Praisingoen,,Kesarin Chaichalermpol;Cherry Samkhok
1944,Sex and the City,2008,Michael Patrick King,Michael Patrick King,Sarah Jessica Parker;Kim Cattrall;Cynthia Nixon;Kristin Davis
1945,Backmask,2015,Marcus Nispel,Kirsten Elms,Stephen Lang;Kelly Blatz;Brittany Curran;Gage Golightly
1946,The Passion of the Christ,2004,Mel Gibson,Mel Gibson;Benedict Fitzgerald,Jim Caviezel;Maia Morgenstern;Christo Jivkov;Francesco De Vito
1947,Lust, Caution,2007,Ang Lee,Hui-Ling Wang;James Schamus;Eileen Chang,Tony Leung Chiu-Wai;Tang Wei;Joan Chen;Leehom Wang
1948,The Two Faces of January,2014,Hossein Amini,Hossein Amini;Patricia Highsmith,Viggo Mortensen;Kirsten Dunst;Oscar Isaac;Prometheus Aleifer
1949,Piranha 3D,2010,Alexandre Aja,Josh Stolberg,Elisabeth Shue;Adam Scott;Jerry O'Connell;Steven R. McQueen
1950,The DUFF,2015,Ari Sandel,Josh A. Cagan;Kody Keplinger,Mae Whitman;Robbie Amell;Bella Thorne;Skyler Samuels
1951,Hector and the Search for Happiness,2014,Peter Chelsom,Tinker Lindsay;Maria von Heland;Peter Chelsom;François Lelord,Simon Pegg;Rosamund Pike;Toni Collette;Stellan Skarsgård
1952,Draft Day,2014,Ivan Reitman,Scott Rothman;Rajiv Joseph,Kevin Costner;Jennifer Garner;Tom Welling;Sam Elliott
1953,Paranormal Activity 3,2011,Henry Joost;Ariel Schulman,Christopher B. Landon,Katie Featherston;Sprague Grayden;Lauren Bittner;Christopher Nicholas Smith
1954,Brothers,2009,Jim Sheridan,David Benioff;Anders Thomas Jensen;Susanne Bier,Tobey Maguire;Jake Gyllenhaal;Natalie Portman;Sam Shepard
1955,Christmas in Miami,2005,Neri Parenti,Fausto Brizzi;Neri Parenti,Christian De Sica;Massimo Boldi;Vanessa Hessler;Massimo Ghini
1956,Bridget Jones: The Edge of Reason,2004,Beeban Kidron,Helen Fielding;Andrew Davies;Richard Curtis;Adam Brooks,Renée Zellweger;Colin Firth;Hugh Grant;Jacinda Barrett
1957,U-571,2000,Jonathan Mostow,Sam Montgomery;David Ayer,Matthew McConaughey;Bill Paxton;Harvey Keitel;Jon Bon Jovi
1958,The Watch,2012,Akiva Schaffer,Seth Rogen;Evan Goldberg;Jared Stern,Jonah Hill;Ben Stiller;Vince Vaughn;Richard Ayoade
1959,Filth,2013,Jon S. Baird,Jon S. Baird;Irvine Welsh,James McAvoy;Imogen Poots;Jamie Bell;Joanne Froggatt
1960,Men in Hope,2011,Jiří Vejdělek,Jiří Vejdělek,Bolek Polívka;Vica Kerekes;Simona Stašová;Petra Hřebíčková
1961,The Giver,2014,Phillip Noyce,Michael Mitnick;Lois Lowry;Robert B. Weide,Jeff Bridges;Meryl Streep;Brenton Thwaites;Odeya Rush
1962,Dirty Dancing,1987,Emile Ardolino,Eleanor Bergstein,Jennifer Grey;Patrick Swayze;Cynthia Rhodes;Jerry Orbach
1963,The Last Boy Scout,1991,Tony Scott,Shane Black;Greg Hicks,Bruce Willis;Damon Wayans;Chelsea Field;Noble Willingham
1964,Nine 1/2 Weeks,1986,Adrian Lyne,Sarah Kernochan;Zalman King;Patricia Louisianna Knop,Mickey Rourke;Kim Basinger;Margaret Whitton;David Margulies
1965,!Three Amigos!,1986,John Landis,Lorne Michaels;Randy Newman;Steve Martin,Chevy Chase;Steve Martin;Martin Short;Patrice Martinez
1966,L.A. Confidential,1997,Curtis Hanson,James Ellroy;Brian Helgeland;Curtis Hanson,Kevin Spacey;Guy Pearce;Danny DeVito;James Cromwell
1967,Yours, Mine and Ours,2005,Raja Gosnell,Ron Burch;David Kidd,Dennis Quaid;Rene Russo;Sean Faris;Katija Pevec
1968,The Happening,2008,M. Night Shyamalan,M. Night Shyamalan,Mark Wahlberg;Zooey Deschanel;John Leguizamo;Spencer Breslin
1969,NJPW King of Pro-Wrestling 2015,2015,,,Kazuchika Okada;A.J. Styles;Hiroshi Tanahashi;Tetsuya Naito
1970,Hello Ladies: The Movie,2014,Stephen Merchant,Stephen Merchant;Gene Stupnitsky;Lee Eisenberg,Stephen Merchant;Christine Woods;Kevin Weisman;Nate Torrence
1971,Justice League,2017,Zack Snyder,David S. Goyer;Chris Terrio;Zack Snyder,Henry Cavill;Ben Affleck;Gal Gadot;Ezra Miller
1972,Teenage Mutant Ninja Turtles III,1993,Stuart Gillard,Stuart Gillard,Paige Turco;Stuart Wilson;Sab Shimono;Vivian Wu
1973,Montana,2014,Mo Ali,Jeremy Sheldon;Peter Lowe,Michelle Fairley;Lars Mikkelsen;Ashley Walters;Zlatko Buric
1974,Rush Hour 2,2001,Brett Ratner,Jeff Nathanson,Chris Tucker;Jackie Chan;Zhang Ziyi;Roselyn Sánchez
1975,Lady Ninja Kasumi,2005,Hiroyuki Kawasaki,Ribon Kawasaki,Young-mi;Saki Anz;Yui Mamiya;Tomotake Shigematsu
1976,Kung Fu Panda 3,2016,Jennifer Yuh,Jonathan Aibel;Glenn Berger,Jack Black;Dustin Hoffman;David Cross;James Hong
1977,Dinner for Schmucks,2010,Jay Roach,David Guion;Michael Handelman;Francis Veber,Steve Carell;Paul Rudd;Stephanie Szostak;Jemaine Clement
1978,Brotherhood of Blades,2014,Lu Yang,Lu Yang;Shu Chen,Chang Chen;Liu Shishi;Chin Shih-Chieh;Dan Zhu
1979,Gothika,2003,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry;Robert Downey Jr.;Charles S. Dutton;Penélope Cruz
1980,The Blues Brothers,1980,John Landis,John Landis;Dan Aykroyd,Dan Aykroyd;John Belushi;Cab Calloway;Carrie Fisher
1981,Elektra,2005,Rob Bowman,Mark Steven Johnson;Frank Miller;Raven Metzner;Stu Zicherman;Zak Penn,Jennifer Garner;Goran Višnjić;Will Yun Lee;Cary-Hiroyuki Tagawa
1982,Beauty and the Beast,2014,Christophe Gans,Jeanne-Marie Leprince de Beaumont;Christophe Gans;Sandra Vo-Anh,Vincent Cassel;Léa Seydoux;André Dussollier;Eduardo Noriega
1983,Forgetting Sarah Marshall,2008,Nicholas Stoller,Jason Segel,Jason Segel;Kristen Bell;Mila Kunis;Russell Brand
1984,Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,Will Ferrell,Will Ferrell;Christina Applegate;Paul Rudd;David Koechner
1985,Conspiracy Theory,1997,Richard Donner,Brian Helgeland,Mel Gibson;Julia Roberts;Patrick Stewart;Cylk Cozart
1986,Meadowland,2015,Reed Morano,Chris Rossi,Olivia Wilde;Luke Wilson;Elisabeth Moss;Kevin Corrigan
1987,Get Shorty,1995,Barry Sonnenfeld,Elmore Leonard;Scott Frank,John Travolta;Gene Hackman;Rene Russo;Danny DeVito
1988,Letters to Juliet,2010,Gary Winick,José Rivera;Tim Sullivan,Amanda Seyfried;Gael García Bernal;Vanessa Redgrave;Christopher Egan
1989,This Is It,2009,Kenny Ortega,,Michael Jackson;Orianthi;Kenny Ortega;Dorian Holley
1990,National Lampoon’s Van Wilder,2002,Walt Becker,Brent Goldberg;David Wagner,Ryan Reynolds;Tara Reid;Tim Matheson;Kal Penn
1991,Weird Science,1985,John Hughes,John Hughes,Anthony Michael Hall;Kelly LeBrock;Ilan Mitchell-Smith;Bill Paxton
1992,Super,2011,James Gunn,James Gunn,Rainn Wilson;Ellen Page;Liv Tyler;Kevin Bacon
1993,Goodbye Mr. Loser,2015,Fei Yan;Damo Peng,,Teng Shen;Mary;Zixuan Wang;Zheng Yin
1994,Gandhi,1982,Richard Attenborough,John Briley,Ben Kingsley;Rohini Hattangadi;Candice Bergen;Roshan Seth
1995,Boomerang,1992,Reginald Hudlin,Barry W. Blaustein,Eddie Murphy;Robin Givens;Halle Berry;David Alan Grier
1996,Don't Blink: Robert Frank,2015,Laura Israel,,
1997,Police Academy,1984,Hugh Wilson,Neal Israel;Pat Proft;Hugh Wilson,Steve Guttenberg;Kim Cattrall;G. W. Bailey;Bubba Smith
1998,The New Girlfriend,2014,François Ozon,François Ozon,Anaïs Demoustier;Romain Duris;Raphaël Personnaz;Isild Le Besco
1999,The Wrestler,2008,Darren Aronofsky,Robert D. Siegel,Mickey Rourke;Marisa Tomei;Evan Rachel Wood;Ajay Naidu
2000,The Salvation,2014,Kristian Levring,Kristian Levring;Anders Thomas Jensen,Mads Mikkelsen;Eva Green;Jeffrey Dean Morgan;Eric Cantona
2001,Addams Family Values,1993,Barry Sonnenfeld,Paul Rudnick,Joan Cusack;Anjelica Huston;Raúl Juliá;Christopher Lloyd
2002,Vampires,1998,John Carpenter,Don Jakoby,James Woods;Daniel Baldwin;Sheryl Lee;Thomas Ian Griffith
2003,X-Men: Apocalypse,2016,Bryan Singer,Michael Dougherty;Dan Harris;Simon Kinberg;Bryan Singer,James McAvoy;Michael Fassbender;Jennifer Lawrence;Hugh Jackman
2004,La Femme Nikita,1990,Luc Besson,Luc Besson,Anne Parillaud;Marc Duret;Patrick Fontana;Alain Lathière
2005,The Dukes of Hazzard,2005,Jay Chandrasekhar,John O'Brien;Jonathan L. Davis,Johnny Knoxville;Seann William Scott;Jessica Simpson;M.C. Gainey
2006,Skin Trade,2014,Ekachai Uekrongtham,Gabriel Dowrick,Dolph Lundgren;Tony Jaa;Ron Perlman;Celina Jade
2007,A Knight's Tale,2001,Brian Helgeland,Brian Helgeland,Heath Ledger;Rufus Sewell;Shannyn Sossamon;Paul Bettany
2008,The Land Before Time II: The Great Valley Adventure,1994,Roy Allen Smith,Dev Ross;John Loy;John Ludin,Scott McAfee;Candace Hutson;Heather Hogan;Jeff Bennett
2009,Poseidon,2006,Wolfgang Petersen,Mark Protosevich;Paul Gallico,Kurt Russell;Richard Dreyfuss;Josh Lucas;Jacinda Barrett
2010,James and the Giant Peach,1996,Henry Selick,Roald Dahl;Karey Kirkpatrick;Jonathan Roberts;Steve Bloom,Paul Terry;Joanna Lumley;Miriam Margolyes;Susan Sarandon
2011,Guardians of the Galaxy Vol. 2,2017,James Gunn,James Gunn,Chris Pratt;Zoe Saldana;Dave Bautista;Bradley Cooper
2012,Star Trek: Nemesis,2002,Stuart Baird,John Logan,Patrick Stewart;Jonathan Frakes;LeVar Burton;Brent Spiner
2013,Zapped!,1982,Robert J. Rosenthal,Bruce Joel Rubin;Robert J. Rosenthal,Scott Baio;Willie Aames;Robert Mandan;Felice Schachter
2014,Superfast!,2015,Jason Friedberg;Aaron Seltzer,Jason Friedberg;Aaron Seltzer,Alex Ashbaugh;Dale Pavinkski;Lili Mirojnick;Andrea Navedo
2015,Cinderella II: Dreams Come True,2002,John Kafka,Tom Rogers;Jill E. Blotevogel;Jule Selbo,Jennifer Hale;Corey Burton;Holland Taylor;Susanne Blakeslee
2016,High Noon,1952,Fred Zinnemann,Carl Foreman;John W. Cunningham,Gary Cooper;Grace Kelly;Thomas Mitchell;Lloyd Bridges
2017,The Longest Yard,2005,Peter Segal,Sheldon Turner;Albert S. Ruddy,Adam Sandler;Chris Rock;Burt Reynolds;Michael Irvin
2018,Scrooged,1988,Richard Donner,Mitch Glazer;Michael O'Donoghue,Bill Murray;Karen Allen;John Glover;John Forsythe
2019,Jackie Brown,1997,Quentin Tarantino,Quentin Tarantino;Elmore Leonard,Pam Grier;Samuel L. Jackson;Robert Forster;Bridget Fonda
2020,Dragonball Evolution,2009,James Wong,Ben Ramsey;Akira Toriyama,Justin Chatwin;Joon Park;Jamie Chung;Emmy Rossum
2021,The Boondock Saints,1999,Troy Duffy,Troy Duffy,Willem Dafoe;Norman Reedus;Sean Patrick Flanery;David Della Rocco
2022,The Grudge,2004,Takashi Shimizu,Takashi Shimizu;Stephen Susco,Sarah Michelle Gellar;Jason Behr;William Mapother;Clea DuVall
2023,Mercury Rising,1998,Harold Becker,Ryne Douglas Pearson;Lawrence Konner;Mark Rosenthal,Bruce Willis;Alec Baldwin;Miko Hughes;Chi McBride
2024,The Skin I Live In,2011,Pedro Almodóvar,Thierry Jonquet;Pedro Almodóvar,Antonio Banderas;Elena Anaya;Marisa Paredes;Jan Cornet
2025,Happy Gilmore,1996,Dennis Dugan,Tim Herlihy;Adam Sandler,Adam Sandler;Christopher McDonald;Julie Bowen;Frances Bay
2026,Body of Lies,2008,Ridley Scott,David Ignatius;William Monahan,Leonardo DiCaprio;Russell Crowe;Mark Strong;Ali Suliman
2027,The Hundred-Foot Journey,2014,Lasse Hallström,Steven Knight;Richard C. Morais,Helen Mirren;Manish Dayal;Om Puri;Charlotte Le Bon
2028,Dick Tracy,1990,Warren Beatty,Jim Cash;Jack Epps Jr.,Warren Beatty;Al Pacino;Madonna;Charlie Korsmo
2029,Alpha and Omega,2010,Anthony Bell;Ben Gluck,Chris Denk;Ben Gluck,Hayden Panettiere;Justin Long;Dennis Hopper;Christina Ricci
2030,Christmas in Conway,2013,John Kent Harrison,,Andy García;Mary-Louise Parker;Mandy Moore;Cheri Oteri
2031,Octopussy,1983,John Glen,George MacDonald Fraser;Richard Maibaum;Michael G. Wilson,Roger Moore;Maud Adams;Louis Jourdan;Kristina Wayborn
2032,The Karate Kid, Part II,1986,John G. Avildsen,Robert Mark Kamen,Ralph Macchio;Pat Morita;Martin Kove;Charlie Tanimoto
2033,Jaws 3,1983,Joe Alves,Peter Benchley;Guerdon Trueblood,Dennis Quaid;Bess Armstrong;Simon MacCorkindale;Louis Gossett, Jr.
2034,Grudge Match,2013,Peter Segal,Tim Kelleher;Rodney Rothman,Robert De Niro;Sylvester Stallone;Alan Arkin;Jon Bernthal
2035,A Monster in Paris,2011,Bibo Bergeron,Bibo Bergeron;Stéphane Kazandjian,Vanessa Paradis;Mathieu Chedid;Gad Elmaleh;François Cluzet
2036,Tooth Fairy,2010,Michael Lembeck,Babaloo Mandel;Lowell Ganz,Dwayne Johnson;Julie Andrews;Stephen Merchant;Ryan Sheckler
2037,Legend of the BoneKnapper Dragon,2010,John Puglisi,Peter Steinfeld;Cressida Cowell,Kevin Michael Richardson;Jay Baruchel;Gerard Butler;Craig Ferguson
2038,What Women Want,2000,Nancy Meyers,Josh Goldsmith;Cathy Yuspa;Diane Drake;Cathy Yuspa,Helen Hunt;Mel Gibson;Marisa Tomei;Lauren Holly
2039,Sintel,2010,Colin Levy,Esther Wouda,Halina Reijn;Thom Hoffman
2040,Jack and Jill,2011,Dennis Dugan,Steve Koren;Adam Sandler,Adam Sandler;Al Pacino;Katie Holmes;Dana Carvey
2041,Lovelace,2013,Rob Epstein;Jeffrey Friedman,Andy Bellin,Amanda Seyfried;Peter Sarsgaard;Hank Azaria;Adam Brody
2042,The Pelican Brief,1993,Alan J. Pakula,Alan J. Pakula;John Grisham,Julia Roberts;Denzel Washington;Sam Shepard;William Atherton
2043,Flash Gordon,1980,Mike Hodges,Lorenzo Semple Jr.;Dino De Laurentiis,Sam J. Jones;Melody Anderson;Max von Sydow;Chaim Topol
2044,Seed of Chucky,2004,Don Mancini,Don Mancini,Brad Dourif;Jennifer Tilly;Billy Boyd;Redman
2045,Ong Bak 2,2008,Tony Jaa;Panna Rittikrai,Panna Rittikrai,Tony Jaa;Sarunyu Wongkrachang;Sorapong Chatree;Primorata Dejudom
2046,We Are Still Here,2015,Ted Geoghegan,Ted Geoghegan,Barbara Crampton;Andrew Sensenig;Lisa Marie;Larry Fessenden
2047,Serena,2014,Susanne Bier,Christopher Kyle;Ron Rash,Jennifer Lawrence;Bradley Cooper;Rhys Ifans;Toby Jones
2048,The Campaign,2012,Jay Roach,Shawn Harwell;Chris Henchy,Dylan McDermott;Will Ferrell;Zach Galifianakis;Jason Sudeikis
2049,Galaxy Quest,1999,Dean Parisot,David Howard;Robert Gordon,Tim Allen;Sigourney Weaver;Alan Rickman;Tony Shalhoub
2050,In Search of the Ultra-Sex,2015,Bruno Lavaine;Nicolas Charlet,,
2051,Escape from Alcatraz,1979,Don Siegel,J. Campbell Bruce;Richard Tuggle,Clint Eastwood;Patrick McGoohan;Fred Ward;David Cryer
2052,A Real Young Lady,1976,Catherine Breillat,Catherine Breillat,Charlotte Alexandra;Hiram Keller;Rita Maiden;Bruno Balp
2053,Thunder and the House of Magic,2013,Ben Stassen;Jeremy Degruson,James Flynn;Dominic Paris;Ben Stassen,Brianne Siddall;Joey Camen;Elisa Gabrielli;Robin Atkin Downes
2054,Kama Sutra - A Tale of Love,1996,Mira Nair,Helena Kriel;Mira Nair,Indira Varma;Sarita Choudhury;Ramon Tikaram;Naveen Andrews
2055,Firequake,2014,Geoff Browne,Denyc,Zoe Barker;Nigel Barber;Luke Cousins;Kirsty Mitchell
2056,Freeheld,2015,Peter Sollett,Ron Nyswaner,Julianne Moore;Ellen Page;Steve Carell;Michael Shannon
2057,Open Season 2,2008,Matthew O'Callaghan;Todd Wilderman,David I. Stern,Mike Epps;Joel McHale;Jane Krakowski;Billy Connolly
2058,Edge of Darkness,2010,Martin Campbell,William Monahan;Andrew Bovell,Mel Gibson;Ray Winstone;Danny Huston;Shawn Roberts
2059,101 Dalmatians,1996,Stephen Herek,John Hughes,Glenn Close;Jeff Daniels;Joely Richardson;Joan Plowright
2060,The Skeleton Twins,2014,Craig Johnson,Mark Heyman;Craig Johnson,Kristen Wiig;Bill Hader;Luke Wilson;Ty Burrell
2061,Suite Française,2014,Saul Dibb,Saul Dibb;Matt Charman,Michelle Williams;Kristin Scott Thomas;Matthias Schoenaerts;Sam Riley
2062,Starship Troopers : Invasion,2012,Shinji Aramaki,Flint Dille,Luci Christian;Justin Doran;David Matranga;David Wald
2063,Ella Enchanted,2004,Tommy O'Haver,Gail Carson Levine;Laurie Craig;Karen McCullah Lutz;Kirsten Smith;Jennifer Heath;Michele J. Wolff,Anne Hathaway;Hugh Dancy;Cary Elwes;Aidan McArdle
2064,A Merry Friggin' Christmas,2014,Tristram Shapeero,Michael Brown,Robin Williams;Lauren Graham;Wendi McLendon-Covey;Joel McHale
2065,Jack and the Cuckoo-Clock Heart,2013,Stéphane Berla;Mathias Malzieu,Mathias Malzieu;Mathias Malzieu,Mathias Malzieu;Olivia Ruiz;Grand Corps Malade;Jean Rochefort
2066,Bird on a Wire,1990,John Badham,Louis Venosta;Eric Lerner;David Seltzer,Mel Gibson;Goldie Hawn;Joan Severance;David Carradine
2067,The Human Centipede 2 (Full Sequence),2011,Tom Six,Tom Six,Laurence R. Harvey;Ashlynn Yennie;Dominic Borrelli;Georgia Goodrick
2068,Date Night,2010,Shawn Levy,Josh Klausner,Steve Carell;Tina Fey;Mark Wahlberg;Taraji P. Henson
2069,The Adventures of Ichabod and Mr. Toad,1949,James Algar;Clyde Geronimi;Jack Kinney,Washington Irving;Kenneth Grahame;Erdman Penner,Bing Crosby;Basil Rathbone;Eric Blore;J. Pat O'Malley
2070,Bloodsport,1988,Newt Arnold,Sheldon Lettich;Mel Friedman;Christopher Cosby,Jean-Claude Van Damme;Donald Gibb;Ken Siu;Bolo Yeung
2071,The Land Before Time IV: Journey Through the Mists,1996,Roy Allen Smith,Dev Ross,John Ingle;Candace Hutson;Heather Hogan;Rob Paulsen
2072,Smokin' Aces,2007,Joe Carnahan,Joe Carnahan,Ryan Reynolds;Ray Liotta;Joseph Ruskin;Alex Rocco
2073,Hateship Loveship,2013,Liza Johnson,Alice Munro;Mark Poirier,Kristen Wiig;Hailee Steinfeld;Guy Pearce;Christine Lahti
2074,Eragon,2006,Stefen Fangmeier,Peter Buchman;Christopher Paolini,Ed Speleers;Jeremy Irons;Sienna Guillory;Robert Carlyle
2075,War,2007,Philip G. Atwell,Lee Anthony Smith;Gregory J. Bradley,Jet Li;Jason Statham;John Lone;Devon Aoki
2076,Made of Honor,2008,Paul Weiland,Harry Elfont;Deborah Kaplan;Adam Sztykiel,Patrick Dempsey;Michelle Monaghan;Kevin McKidd;Chris Messina
2077,Iron Sky,2012,Timo Vuorensola,Timo Vuorensola;Michael Kalesniko,Julia Dietze;Christopher Kirby;Götz Otto;Udo Kier
2078,The Measure of a Man,2015,Stéphane Brizé,Stéphane Brizé;Olivier Gorce,Vincent Lindon;Yves Ory;Karine de Mirbeck;Mathieu Schaller
2079,The Ant Bully,2006,John A. Davis,John Nickle;John A. Davis,Julia Roberts;Meryl Streep;Nicolas Cage;Paul Giamatti
2080,It's Complicated,2009,Nancy Meyers,Nancy Meyers,Meryl Streep;Alec Baldwin;Steve Martin;Lake Bell
2081,Hellraiser: Bloodline,1996,Kevin Yagher,Peter Atkins,Bruce Ramsay;Valentina Vargas;Charlotte Chatton;Adam Scott
2082,21 Grams,2003,Alejandro González Iñárritu,Guillermo Arriaga,Sean Penn;Naomi Watts;Benicio del Toro;Danny Huston
2083,The Hills Have Eyes,2006,Alexandre Aja,Grégory Levasseur;Alexandre Aja,Aaron Stanford;Kathleen Quinlan;Vinessa Shaw;Emilie de Ravin
2084,The Skulls,2000,Rob Cohen,John Pogue,Joshua Jackson;Paul Walker;Hill Harper;Leslie Bibb
2085,When Marnie Was There,2014,Hiromasa Yonebayashi,Joan G. Robinson;Masashi Ando;Keiko Niwa;Hiromasa Yonebayashi,Sara Takatsuki;Kasumi Arimura;Nanako Matsushima;Susumu Terajima
2086,Little Miss Sunshine,2006,Jonathan Dayton;Valerie Faris,Michael Arndt,Abigail Breslin;Toni Collette;Greg Kinnear;Paul Dano
2087,Marie Antoinette,2006,Sofia Coppola,Sofia Coppola,Kirsten Dunst;Jason Schwartzman;Judy Davis;Rip Torn
2088,Jack the Giant Slayer,2013,Bryan Singer,Darren Lemke ;Christopher McQuarrie;Dan Studney;David Dobkin,Nicholas Hoult;Eleanor Tomlinson;Ewan McGregor;Stanley Tucci
2089,Dial M for Murder,1954,Alfred Hitchcock,Frederick Knott,Ray Milland;Grace Kelly;Robert Cummings;John Williams
2090,Girls in the Night Traffic,1976,Jesús Franco,Erwin C. Dietrich,Kali Hansa;Pilar Coll;Esther Moser;Eric Falk
2091,Doctor Zhivago,1965,David Lean,Boris Pasternak;David Lean;Robert Bolt,Omar Sharif;Julie Christie;Geraldine Chaplin;Rod Steiger
2092,Armored,2009,Nimród Antal,James V. Simpson,Columbus Short;Laurence Fishburne;Skeet Ulrich;Amaury Nolasco
2093,Every Thing Will Be Fine,2015,Wim Wenders,Bjørn Olaf Johannessen,James Franco;Rachel McAdams;Charlotte Gainsbourg;Marie-Josée Croze
2094,Tales from Earthsea,2006,Goro Miyazaki,Keiko Niwa;Ursula K. Le Guin;Goro Miyazaki,Jun'ichi Okada;Aoi Teshima;Bunta Sugawara;Yūko Tanaka
2095,Amy,2015,Asif Kapadia,,Amy Winehouse;Mark Ronson;Tony Bennett;Pete Doherty
2096,Manglehorn,2015,David Gordon Green,Paul Logan,Al Pacino;Chris Messina;Holly Hunter;Harmony Korine
2097,Shaolin Soccer,2001,Stephen Chow,Stephen Chow;Kan-Cheung Tsang,Stephen Chow;Ng Man-Tat;Patrick Tse Yin;Zhao Wei
2098,The Rite,2011,Mikael Håfström,Matt Baglio;Michael Petroni,Anthony Hopkins;Colin O'Donoghue;Alice Braga;Toby Jones
2099,Instructions Not Included,2013,Eugenio Derbez,Guillermo Ríos;Eugenio Derbez,Loreto Peralta;Eugenio Derbez;Jessica Lindsey;Daniel Raymont
2100,She's All That,1999,Robert Iscove,R. Lee Fleming Jr.,Freddie Prinze Jr.;Rachael Leigh Cook;Matthew Lillard;Paul Walker
2101,Light Years,2015,Esther Campbell,Esther Campbell,
2102,Coyote Ugly,2000,David McNally,Gina Wendkos,Piper Perabo;Adam Garcia;John Goodman;Izabella Miko
2103,Labyrinth,1986,Jim Henson,Dennis Lee ;Jim Henson;Terry Jones,David Bowie;Jennifer Connelly;Toby Froud;Christopher Malcolm
2104,The Princess Bride,1987,Rob Reiner,William Goldman,Cary Elwes;Robin Wright;Mandy Patinkin;André the Giant
2105,Jobs,2013,Joshua Michael Stern,Matt Whiteley,Ashton Kutcher;Dermot Mulroney;Amanda Crew;James Woods
2106,Just My Luck,2006,Donald Petrie,Jonathan Bernstein;I. Marlene King;Mark Blackwell;James Greer;Amy B. Harris,Lindsay Lohan;Samaire Armstrong;Chris Pine;Missi Pyle
2107,The Final Destination,2009,David R. Ellis,Eric Bress,Bobby Campo;Shantel VanSanten;Nick Zano;Haley Webb
2108,The Texas Chainsaw Massacre: The Beginning,2006,Jonathan Liebesman,Sheldon Turner;David J. Schow,Jordana Brewster;Taylor Handley;Diora Baird;Matt Bomer
2109,Standing Tall,2015,Emmanuelle Bercot,Emmanuelle Bercot;Marcia Romano,Rod Paradot;Catherine Deneuve;Sara Forestier;Benoît Magimel
2110,Dogma,1999,Kevin Smith,Kevin Smith,Ben Affleck;Matt Damon;Linda Fiorentino;Jason Mewes
2111,The Anomaly,2014,Noel Clarke,Simon Lewis,Ian Somerhalder;Alexis Knapp;Noel Clarke;Luke Hemsworth
2112,Mary and Max,2009,Adam Elliot,Adam Elliot,Toni Collette;Philip Seymour Hoffman;Eric Bana;Barry Humphries
2113,Bridesmaids,2011,Paul Feig,Kristen Wiig;Annie Mumolo,Kristen Wiig;Rose Byrne;Jon Hamm;Melissa McCarthy
2114,The Master,2012,Paul Thomas Anderson,Paul Thomas Anderson,Joaquin Phoenix;Philip Seymour Hoffman;Amy Adams;Laura Dern
2115,The Lunchbox,2013,Ritesh Batra,Ritesh Batra,Irrfan Khan;Nimrat Kaur;Nawazuddin Siddiqui;Denzil Smith
2116,Children of Men,2006,Alfonso Cuarón,Alfonso Cuarón;Timothy J. Sexton;David Arata;Mark Fergus;Hawk Ostby;P.D. James,Clive Owen;Michael Caine;Julianne Moore;Charlie Hunnam
2117,The Blair Witch Project,1999,Daniel Myrick;Eduardo Sánchez,Eduardo Sánchez;Daniel Myrick,Heather Donahue;Joshua Leonard;Michael C. Williams;Bob Griffith
2118,Sex and Lucia,2001,Julio Médem,Julio Médem,Paz Vega;Tristán Ulloa;Najwa Nimri;Daniel Freire
2119,Judge Dredd,1995,Danny Cannon,William Wisher Jr.;Steven E. de Souza;Michael De Luca,Sylvester Stallone;Diane Lane;Armand Assante;Rob Schneider
2120,Fried Green Tomatoes,1991,Jon Avnet,Fannie Flagg;Carol Sobieski,Kathy Bates;Mary-Louise Parker;Jessica Tandy;Cicely Tyson
2121,Dinosaur Island,1994,Fred Olen Ray;Jim Wynorski,Bob Sheridan;Christopher Wooden,Ross Hagen;Richard Gabai;Michelle Bauer;Peter Spellos
2122,Ellis,2015,JR,Eric Roth,Robert De Niro
2123,Khumba,2013,Anthony Silverston,Raffaella Delle Donne;Anthony Silverston,Jake T. Austin;Liam Neeson;Steve Buscemi;AnnaSophia Robb
2124,The Pacifier,2005,Adam Shankman,Ben Garant;Thomas Lennon,Vin Diesel;Lauren Graham;Faith Ford;Brittany Snow
